IHECRE00000294.2	IHECRE00000949.6	IHECRE00004675.3	IHECRE00001892.4	IHECRE00001907.1	IHECRE00004631.3	IHECRE00001966.2	IHECRE00004664.3	IHECRE00003825.5	IHECRE00001888.4	IHECRE00001899.1	IHECRE00000002.3	IHECRE00001854.4	IHECRE00000810.3	IHECRE00001236.5	IHECRE00001973.1	IHECRE00000252.2	IHECRE00003702.4	IHECRE00003848.5	IHECRE00001018.4	IHECRE00000222.3	IHECRE00004705.3	IHECRE00003691.3	IHECRE00000969.7	IHECRE00004897.1	IHECRE00004615.1	IHECRE00001859.4	IHECRE00001954.2	IHECRE00001022.4	IHECRE00003829.4	IHECRE00002067.1	IHECRE00000347.2	IHECRE00001904.1	IHECRE00001964.2	IHECRE00001315.1	IHECRE00000974.7	IHECRE00001914.1	IHECRE00000051.3	IHECRE00000831.3	IHECRE00000332.2	IHECRE00000335.2	IHECRE00000177.3	IHECRE00001916.1	IHECRE00004695.3	IHECRE00003845.2	IHECRE00000348.2	IHECRE00001486.1	IHECRE00004643.3	IHECRE00000353.2	IHECRE00001884.4
DCUN1D4	2.98402568923503	3.9453199909378	2.33537222945729	3.09197777147149	3.00016116163973	3.76862928374103	3.90915739952196	2.89753508078426	3.56375649059625	4.5132466079005	3.35033666538322	4.09258455147991	4.39674292452511	4.11450182213727	2.42899811387786	5.20930313593836	3.08775594218077	5.91016082840905	2.98831366191028	2.17492664714275	3.29156868143235	3.52430568709544	3.04491146222817	3.46666494609248	2.07595421440892	3.74959126650897	4.09441356188071	2.43659447323127	2.15474474359449	3.3043099833411	5.21438764126272	2.98552242995173	2.41200583267442	2.37524430451848	3.65427280572006	2.50741164753912	3.24618407511554	3.95395123150791	3.23880716266297	2.87011212606232	3.92642119755086	3.56118296003525	3.60556361533819	4.42826346581371	3.90520065404908	4.34094578361948	2.84335518649067	2.68169912590458	3.40265495769187	4.35628162904314
CHRDL2	0.00316766118067508	0.0238810179796218	0.143730971285494	0.00111469585679834	0.00174133399642517	0.000139384091784162	0.0751936219545881	0.515625189899993	0.157012456258795	0.048788790040944	0.349718087991933	0.00386291915942761	0.0531281304371413	0.00374127319747698	0.706250248851349	0.0161827770509045	0.000174228010705049	0.0315724926927938	0.316481584706766	0.000174228010705049	0.0915076990915594	0.00528715140435753	0.0386465419558514	0.0196245685081571	0.0879711182430849	0.59182277794734	1.58350978179779	3.48472854424441e-05	0.458163872474096	0.00101022969963006	3.48472854424441e-05	0.00165431719607989	0.401065828539778	0.00379340843713569	0.000452949070450592	3.48472854424441e-05	0.00121915445007577	0.00400193055749626	0.00316766118067508	0.001184335759348	0.243018483017324	0.00466205184144024	0.00151507939781377	2.96928821443845	0.00243727951927403	0.00132360548055759	0.00299379432086655	0.182170255052557	0.0120072009608732	0.00170652790609936
LCN15	0.00316766118067508	3.76433764110077	0.0291156793520478	0.235179454805628	0.00174133399642517	0.000139384091784162	0.000139384091784162	0.925907711151247	0.1444089924767	0.000348434983190721	3.40753009897049	0.00386291915942761	0.000243913324001203	0.00374127319747698	3.48472854424441e-05	0.102292975311044	0.0271848293262304	0.000174228010705049	0.381296749680268	4.65321721103111	0.00427991317660622	0.00528715140435753	3.48472854424441e-05	0.0357938885280772	0.00201975249314262	6.96937291935136e-05	0.171132549755515	0.00982834696881012	8.04070822991807	0.00101022969963006	0.168747442919299	0.122024429856594	0.00247206798435064	3.48472854424441e-05	0.0528594033338217	0.0926846354452589	0.00121915445007577	0.00400193055749626	0.00316766118067508	0.31555782988317	0.607666242266435	0.00466205184144024	0.00151507939781377	0.000487785417075723	0.00243727951927403	0.00132360548055759	0.00299379432086655	0.000452949070450592	0.0120072009608732	0.00170652790609936
TTN	0.710164228032913	0.206262687579877	0.0291156793520478	1.3928284319596	0.00174133399642517	1.45794824479431	0.0489909095043549	11.1501826500864	1.43932119956779	0.306386237559282	0.000731616293161134	0.415586246278489	0.29105967187051	2.91632893798907	0.100685189779183	0.682367018919142	1.45122226305525	0.376768184925679	1.6386727015555	0.000174228010705049	0.0611333541752069	1.90533787581987	0.0360318252041081	0.16125678149621	0.0567845588189871	0.0102436205568117	0.106668759802677	0.0522209757803003	0.0118689588142659	1.22334792764897	0.92660454126818	1.59394839800711	0.00247206798435064	0.046968439489646	2.66254953156013	0.0569855612631837	0.778675846051043	0.715108155298776	0.895471229414009	4.67981187951192	5.29074990683527	0.00466205184144024	1.55746277664182	1.44572542406504	2.18603885884285	1.76609834915625	1.85609077136897	6.8316064975647	0.764837623836299	0.00170652790609936
METTL3	4.29021567294565	4.1381310419668	4.10399928646942	5.334426812191	4.18030221470684	4.77332112019009	3.47950614174364	4.00166084363816	5.30270845197744	5.18561282404143	4.91354623220601	5.68313973276219	3.80928767454222	5.32508793250957	4.2421772018217	3.56297238194	4.20826428640604	5.40304784883711	4.30116082276769	2.7016320890575	4.01302309029282	4.10442985415868	4.50870728478643	5.01460649374153	4.13147774785303	4.30774176854318	4.79961543253106	4.46041177334391	3.26061845441914	3.90161430901591	3.60275246898255	5.3105482433615	4.1381310419668	4.7695647842149	5.82630284378011	3.99480379024628	5.33955140027919	5.06704432550549	4.33878438819069	5.13872168904426	4.23684659806859	3.47777742522393	5.51827436578082	4.86161020114522	6.18917662796065	5.68923702762859	5.69012351895163	4.00009582800967	3.54684824400749	4.23013579702183
CAPRIN1	5.44927825906135	6.07469943535961	5.80308723943614	6.645536612562	5.30920062144824	6.15305043126053	5.87706432242059	5.34848441348795	7.03998549130927	6.49433791987437	5.75901813503657	7.21140539964906	5.68878851075501	6.07032839497533	5.09757466610468	6.26978981920298	6.20122093251721	7.22798001095539	5.58797513163056	5.24826402967272	5.55266278686391	5.79994885357928	5.45780394650973	5.56202484012398	5.57200136416591	5.83239778277127	6.38911950802861	5.80601328400888	5.493950951028	7.12627227161655	6.20527595887366	5.66062602876148	5.55524635960171	5.46007140736012	6.39942004351116	6.62350019070616	5.08818370116786	6.39857806548047	6.36798676278039	6.2718915121121	6.17409971221901	6.13864651122257	5.05000108228986	5.65599470850629	5.09478785567925	7.93922331217185	5.46513022501048	6.56245075789826	4.93988124346738	6.6844914951129
CNIH2	0.880065561859123	0.501060617105375	0.224958910926194	1.08767601146869	0.266326658709205	0.000139384091784162	0.402305631271368	0.230865353929238	2.00887622723869	0.655042037964834	0.724871677385059	0.49659696672833	0.503115169023845	0.538142248962937	0.23286834521137	5.10586651362786	0.334612490952164	1.39311372197982	1.40788472924165	0.942067932285911	0.360873160098382	0.00528715140435753	0.132553001396868	0.242827074829712	1.29668793357438	0.349444599077834	0.938763078764672	1.86381398896154	0.203481121578708	0.678267910145327	4.58766212255731	0.199708377388823	0.32543647434301	1.31699219522854	1.12271272711704	1.53568034217619	1.15131294381134	0.631728537183713	0.685653106927036	1.24251045939441	2.29222336670474	0.00466205184144024	1.18788706261645	0.000487785417075723	1.68075920807321	0.406702289178011	0.177494166725325	0.000452949070450592	2.37760663940332	0.131312711962176
FAM166B	0.00316766118067508	0.185207734967238	0.598512506469568	0.633144762416462	0.555081084227353	0.178664610470084	0.000139384091784162	0.00101022969963006	0.377117041181977	0.672868044897556	0.947291207282788	0.634245310579519	0.193459413206472	0.387010823866361	0.208194531840017	0.110869971393833	0.000174228010705049	0.539605392153216	0.00375865182003414	0.472952332742201	0.0790585611221865	4.70683882370451	0.190530887389073	0.339054739770714	0.0632694938079495	0.366965802846098	0.606785514441915	0.0962096946505637	0.0887250058641076	0.440939362721601	0.168747442919299	0.327673480560916	0.32543647434301	0.0271335325906068	0.45925420122386	0.434004459868626	0.738501560090462	0.631728537183713	0.362093748772862	0.936780167527444	0.243018483017324	0.00466205184144024	0.674364576990587	0.000487785417075723	1.08767601146869	0.219162907397878	0.873841722802583	0.914888007044988	0.0120072009608732	0.131312711962176
ZNF250	2.2710488559107	1.90491919229121	3.22995195732205	2.19782969252069	1.98726813199252	3.73917759807085	1.34142890127475	2.35507484205185	2.10581895161346	2.21693841552642	1.80379607011941	2.49209468686413	2.11192239629631	3.08040225565685	2.97566607020031	2.41292876165446	2.3706393982922	2.73925327372596	2.68238330513059	2.40911212754839	2.93713055878496	1.95685128456461	3.61779589693025	1.77092605470055	1.44167720750471	2.1552063947441	1.76901020277477	1.32886004727752	1.68659525570196	2.10374493788848	2.10446631987197	3.00596620608896	2.29068937026661	1.4378169926171	3.92114697751375	1.76783900342668	2.89101758393413	2.31461246843861	1.93162824966547	2.94424735012277	2.82359677047418	2.0766978844408	3.24668713567165	2.81621383221092	2.78539892213399	2.42713649434669	3.09102929430587	1.35738200579141	3.36941421957414	2.7695980012205
CITED2	5.66743075118228	5.493950951028	6.78497332642322	2.57158301999201	5.53649218482432	6.89447275905069	8.5116286287913	6.51951812662684	5.76834065142981	3.48852556506686	4.33028645144448	6.51356741155636	8.25612992999155	4.5561109673504	6.20954519112186	2.00094493450987	5.69428739092365	6.61181137453313	7.34911826751866	5.0175830710655	7.14435529456879	5.73958137310616	8.4822423925376	4.14461391291313	5.43344574119553	3.85352322194836	2.87524347953287	6.28583640955148	4.39537579866502	5.99532556525391	1.73723738067309	6.68661792196101	5.62646453156342	6.15305043126053	2.18238139791682	6.76535761433514	5.44458721063917	5.71667020686749	4.59224468535773	3.92228979192113	3.6145647565733	5.96213264563369	5.63546980631732	6.50478771309633	4.38955517364593	5.79505052008749	6.22962484114689	6.21022569483905	3.92309175067682	6.66083681665718
